config,model,accuracy,f1_score,training_time
1_cores,Random Forest,0.6666666666666666,0.5333333333333333,0.1142122745513916
1_cores,Logistic Regression,0.6666666666666666,0.5333333333333333,0.004487276077270508
1_cores,Decision Tree,0.6666666666666666,0.5333333333333333,0.0009474754333496094
1_cores,SVM,1.0,1.0,0.0019903182983398438
1_cores,Naive Bayes,0.6666666666666666,0.5333333333333333,0.000904083251953125
1_cores,K-Neighbors,0.3333333333333333,0.16666666666666666,0.07612371444702148
1_cores,Neural Network,0.6666666666666666,0.5333333333333333,0.0651390552520752
1_cores,XGBoost,0.3333333333333333,0.16666666666666666,0.35186338424682617
2_cores,Random Forest,0.6666666666666666,0.5333333333333333,0.11614608764648438
2_cores,Logistic Regression,0.6666666666666666,0.5333333333333333,0.003975868225097656
2_cores,Decision Tree,0.6666666666666666,0.5333333333333333,0.0012242794036865234
2_cores,SVM,1.0,1.0,0.0019304752349853516
2_cores,Naive Bayes,0.6666666666666666,0.5333333333333333,0.0011394023895263672
2_cores,K-Neighbors,0.3333333333333333,0.16666666666666666,0.019500017166137695
2_cores,Neural Network,0.6666666666666666,0.5333333333333333,0.06207466125488281
2_cores,XGBoost,0.3333333333333333,0.16666666666666666,0.011940479278564453
4_cores,Random Forest,0.6666666666666666,0.5333333333333333,0.12706851959228516
4_cores,Logistic Regression,0.6666666666666666,0.5333333333333333,0.004269599914550781
4_cores,Decision Tree,0.6666666666666666,0.5333333333333333,0.0015721321105957031
4_cores,SVM,1.0,1.0,0.003087759017944336
4_cores,Naive Bayes,0.6666666666666666,0.5333333333333333,0.0010762214660644531
4_cores,K-Neighbors,0.3333333333333333,0.16666666666666666,0.022411823272705078
4_cores,Neural Network,0.6666666666666666,0.5333333333333333,0.07023096084594727
4_cores,XGBoost,0.3333333333333333,0.16666666666666666,0.012747526168823242
6_cores,Random Forest,0.6666666666666666,0.5333333333333333,0.12782931327819824
6_cores,Logistic Regression,0.6666666666666666,0.5333333333333333,0.0037615299224853516
6_cores,Decision Tree,0.6666666666666666,0.5333333333333333,0.0013539791107177734
6_cores,SVM,1.0,1.0,0.0028815269470214844
6_cores,Naive Bayes,0.6666666666666666,0.5333333333333333,0.0013017654418945312
6_cores,K-Neighbors,0.3333333333333333,0.16666666666666666,0.020631790161132812
6_cores,Neural Network,0.6666666666666666,0.5333333333333333,0.062398433685302734
6_cores,XGBoost,0.3333333333333333,0.16666666666666666,0.011922359466552734
